City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
231,Shimoda,JP,55.76,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
232,Sao Felix Do Xingu,BR,73.02,light rain,-6.6447,-51.995,Rio Xingu Camping
233,Buraydah,SA,64.85,clear sky,26.326,43.975,فندق راحة السلام
234,Port Macquarie,AU,66.16,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
235,Lazaro Cardenas,MX,79.65,broken clouds,17.9583,-102.2,quinta antigua
237,Turayf,SA,50.25,clear sky,31.6725,38.6637,Turaif
238,Tautira,PF,89.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
239,Denpasar,ID,81.54,overcast clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
240,Camacupa,AO,62.92,overcast clouds,-12.0167,17.4833,seviremde seni
241,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
243,Mao,ES,50.56,few clouds,39.8885,4.2658,ARTIEM Capri
244,Asau,RO,40.12,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
245,Ambon,ID,83.21,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
246,Inhambane,MZ,67.98,few clouds,-23.865,35.3833,Oceano
248,Hervey Bay,AU,82.51,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
250,Ajdabiya,LY,63.73,few clouds,30.7554,20.2263,Almadina Hotel
251,Zuwarah,LY,63.55,broken clouds,32.9312,12.082,يوسف
252,Santiago Del Estero,AR,81.59,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
253,Teahupoo,PF,84.16,scattered clouds,-17.8333,-149.2667,Vanira Lodge
254,Samarai,PG,84.31,overcast clouds,-10.6167,150.6667,Nuli Sapi
257,Mulege,MX,69.96,clear sky,26.8833,-111.9833,Casa Granada
260,Pitiquito,MX,75.13,clear sky,30.7,-112.0833,La Víspera
263,Ratnagiri,IN,74.75,overcast clouds,16.9833,73.3,Hotel Landmark
265,Cidreira,BR,69.57,scattered clouds,-30.1811,-50.2056,Hotel Castelo
266,Kaeo,NZ,69.85,clear sky,-35.1,173.7833,Bushido Lodge
267,Pacific Grove,US,74.88,clear sky,36.6177,-121.9166,Lovers Point Inn
268,San Matias,BO,75.42,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
269,Tingo Maria,PE,72.66,broken clouds,-9.2895,-76.0088,Hospedaje Paraíso
270,Agua Dulce,MX,74.98,scattered clouds,18.1333,-94.1333,Hotel Victoria
271,Alenquer,BR,79.14,overcast clouds,-1.9417,-54.7383,Josilene Castro
272,Rioblanco,CO,62.49,broken clouds,3.5308,-75.6806,hotel en tolima colombia
275,Grand-Lahou,CI,78.96,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
279,Lompoc,US,77.31,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
280,Tura,IN,57.43,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
282,Moree,AU,78.82,few clouds,-29.4667,149.85,Molika Springs Motel
283,New Plymouth,NZ,66.69,broken clouds,-39.0667,174.0833,Belt Road Seaside Holiday Park
284,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
285,Mount Pleasant,US,55.4,clear sky,32.7941,-79.8626,Best Western Patriots Point
287,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
288,Namatanai,PG,85.73,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
290,Sur,OM,75.69,clear sky,22.5667,59.5289,Sur Plaza Hotel
291,Port Elizabeth,ZA,64.69,clear sky,-33.918,25.5701,39 On Nile Guest House
292,Dalkola,IN,63.0,clear sky,25.85,87.85,Hotel Oasis Palace
293,Kudahuvadhoo,MV,81.18,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
294,Glamoc,BA,41.18,overcast clouds,44.0458,16.8486,Hotel Split
295,Tarakan,ID,76.28,heavy intensity rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
297,Halifax,CA,48.2,overcast clouds,44.6453,-63.5724,Hotel Halifax
298,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
299,Asyut,EG,64.58,scattered clouds,27.181,31.1837,Florence Hotel Assiut
300,Victor Harbor,AU,62.69,overcast clouds,-35.5667,138.6167,McCracken Country Club
301,Nueva Loja,EC,73.6,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
303,Alice Springs,AU,71.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
306,Champerico,GT,82.94,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
307,Laguna,US,67.84,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
309,Moroni,KM,79.56,light rain,-11.7022,43.2551,Hotel les Arcades
310,Mangrol,IN,74.89,clear sky,21.1167,70.1167,Hotel The Royal Honours
311,Hatta,IN,58.5,clear sky,24.1167,79.6,Agrawal Marriage Garden Bharat Tent House
312,Los Llanos De Aridane,ES,60.55,scattered clouds,28.6585,-17.9182,Valle Aridane
313,Coquimbo,CL,62.33,broken clouds,-29.9533,-71.3436,Punto de encuentro
314,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
315,Flinders,AU,56.48,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
317,Kismayo,SO,77.72,light rain,-0.3582,42.5454,Agan-Hotel
318,Victoria,HK,66.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
321,Sao Lourenco Do Sul,BR,68.81,broken clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
322,Itarema,BR,80.62,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
323,Coihaique,CL,54.21,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
324,Boshkengash,TJ,44.94,mist,38.4661,68.8053,Dom Lutfullo
326,Sampit,ID,77.09,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
327,Morondava,MG,74.44,few clouds,-20.2833,44.2833,La Case Bambou
328,Malanje,AO,64.49,light rain,-9.5402,16.341,Malanje Hotel
329,Caldwell,US,45.75,clear sky,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
330,Foggia,IT,53.38,scattered clouds,41.45,15.5333,B&B White
332,Kavaratti,IN,82.04,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
333,Ayr,GB,40.89,few clouds,55.4627,-4.6339,Mercure Ayr Hotel
334,Naze,JP,63.52,overcast clouds,28.3667,129.4833,Shishime Hotel
335,Manzanillo,CU,73.71,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
336,Zomba,MW,63.21,broken clouds,-15.386,35.3188,Trout Farm Campsite
338,Sao Cristovao,BR,78.71,scattered clouds,-11.0147,-37.2064,Vó Nazinha Hostel
340,Knysna,ZA,59.38,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
341,Sechura,PE,68.99,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
342,Mocuba,MZ,69.28,light rain,-16.8392,36.9856,Phama Lodge
344,Puerto Baquerizo Moreno,EC,69.35,broken clouds,-0.9,-89.6,Hotel los Algarrobos
346,El Cope,PA,67.46,overcast clouds,8.6167,-80.6,Hostal Buena Esperanza
347,Acari,PE,70.07,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
348,Petatlan,MX,78.1,broken clouds,17.5167,-101.2667,Hotel California Petatlán
349,Maxixe,MZ,66.74,few clouds,-23.8597,35.3472,Oceano
350,Matamoros,MX,59.11,overcast clouds,25.5333,-103.25,Quinta Belem
351,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
353,Kannangad,IN,76.53,overcast clouds,12.3081,75.1063,Hotel Landmark
354,Gandai,IN,60.12,scattered clouds,21.6667,81.1,Agrasen Bhawan Gandai
355,Catamarca,AR,80.19,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
358,San Patricio,US,63.01,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
359,Guangyuan,CN,49.78,light rain,32.442,105.823,Guangyuan Poetry Hotel
360,Inirida,CO,75.24,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
361,Itaporanga,BR,85.39,overcast clouds,-7.3044,-38.1503,Hotel Rainha do Vale
366,Bonavista,CA,42.8,moderate rain,48.6499,-53.1147,Abbott's Bed & Breakfast
367,Mirandola,IT,43.34,broken clouds,44.8868,11.0662,Alla Scaletta
371,Lorena,BR,70.41,overcast clouds,-22.7308,-45.1247,Hotel Guarany
372,Caravelas,BR,72.97,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
373,San,ML,81.48,scattered clouds,13.3034,-4.8956,Hôtel Teriya
374,Kaspiysk,RU,41.18,mist,42.8816,47.6392,Alima Hostel
375,Mountain Home,US,45.88,broken clouds,43.133,-115.6912,Mountain Home Inn
376,Hobyo,SO,80.28,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
377,Vila Do Maio,CV,77.79,clear sky,15.1333,-23.2167,Hotel Marilu
378,Barcelos,PT,48.34,broken clouds,41.5388,-8.6151,Hotel Do Terço
379,Tazmalt,DZ,49.82,overcast clouds,36.3868,4.3989,Hôtel Numédia
381,Sakakah,SA,56.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
383,Mormugao,IN,74.03,scattered clouds,15.4,73.8,Coconut Creek Resort
384,Rawatsar,IN,63.45,clear sky,29.2833,74.3833,Honda Service Center
385,Altamira,BR,78.82,overcast clouds,-3.2033,-52.2064,Requinte Hotel
386,Uige,AO,66.22,overcast clouds,-7.6087,15.0613,Hotel Catraio
388,Letpadan,MM,71.04,overcast clouds,17.7833,95.75,Ko Arkar Lin
390,Black River,JM,80.6,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
391,Mar Del Plata,AR,59.02,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
392,Camacha,PT,59.76,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
393,San Clemente,US,83.71,clear sky,33.427,-117.612,Casablanca Inn
394,Amatenango Del Valle,MX,60.66,broken clouds,16.5167,-92.45,Hotel El Cielo
395,Suhum,GH,74.32,few clouds,6.0409,-0.45,SILVER SPOON HOTEL
396,Puerto Cabello,VE,79.07,broken clouds,10.4731,-68.0125,Hotel Cumboto
397,Fairlie,GB,40.82,overcast clouds,55.756,-4.8556,Brisbane House Hotel
399,Iberia,US,55.47,clear sky,29.9502,-91.7507,back to back rv park
401,Jizan,SA,79.74,clear sky,17.3333,42.6667,شهدان. ابوالحجر
402,Port Pirie,AU,64.49,clear sky,-33.1833,138.0167,John Pirie Motor Inn
404,Nishihara,JP,63.68,light rain,26.1842,127.7558,Minshuku Agaihama
406,Surt,LY,65.07,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
409,Aljezur,PT,50.58,clear sky,37.3191,-8.8033,Amazigh Hostel
410,Oistins,BB,77.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
411,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
412,Luena,AO,61.07,overcast clouds,-11.7833,19.9167,Hotel Kandamba
414,Zavallya,UA,48.07,overcast clouds,48.2135,30.0156,"Отель, бар."
415,Kimbe,PG,87.66,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
416,Byron Bay,AU,75.15,overcast clouds,-28.65,153.6167,Backpackers Inn
417,Auki,SB,84.15,broken clouds,-8.7676,160.7034,Auki Motel
418,Copiapo,CL,58.69,clear sky,-27.3667,-70.3333,San Francisco de La Selva
420,Zaozerne,UA,51.51,overcast clouds,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
